Tema,Termino,Puntuacion
0,candidat,0.19399687263305912
0,bachelet,0.17101910537380841
0,nuev,0.15955800991873187
0,matthei,0.15722669022753041
0,presidencial,0.15562510344507671
0,mayor,0.14442270573010763
0,vot,0.1381141537608303
0,vuelt,0.13239947029183238
0,segund,0.12468798648837098
0,part,0.12081996949984652
1,vuelt,0.45709821733323963
1,segund,0.39680627029017368
1,vot,0.18599551089868524
1,primer,0.14093737968886222
1,polit,-0.13582237034239553
1,presidencial,0.12905389766130623
1,gobiern,-0.11642103457320065
1,pais,-0.11482506515210499
1,gan,0.11120377132010097
1,bachelet,0.10174469273633273
2,vot,-0.29086815292025509
2,vuelt,-0.27805732018361384
2,presidencial,0.24440074860219124
2,segund,-0.23399687892459259
2,candidat,0.22011891306956308
2,debat,0.16417578846719594
2,nuev,0.14098670687870274
2,mayor,0.13875435114709325
2,abander,0.13818804438758545
2,cre,-0.13801206815447781
3,nuev,-0.39374419169345787
3,mayor,-0.37376588989097931
3,bachelet,-0.26339015787090414
3,parisi,0.24490603934510588
3,independient,0.18106858968026393
3,program,-0.16602211089883445
3,part,0.15936181882077455
3,israel,0.14358088282341383
3,claud,0.14058829129798914
3,mirand,0.13522629653431725
4,vot,0.27860801161719695
4,matthei,-0.2260205120848236
4,parisi,-0.19952406313227139
4,nuev,0.17872088270484124
4,president,-0.17296037629081454
4,mayor,0.1728028877990157
4,claud,0.15903224049164691
4,mirand,0.14662732752190233
4,piñer,-0.14350673769803168
4,ministr,-0.14288181062932628
5,debat,0.56996991098185057
5,vot,-0.24641689948740661
5,anatel,0.15898193303635003
5,asoci,0.15350974565677994
5,segund,0.14763100516771183
5,president,-0.13136393433962593
5,piñer,-0.12372543715692244
5,chil,0.12177925218866113
5,for,0.12137728261250548
5,archi,0.12032256871855178
6,vot,-0.51782792456567983
6,segund,0.28444880758032431
6,vuelt,0.27136134243465432
6,debat,-0.24117223227690407
6,part,0.18573518733496824
6,israel,0.15288853361246799
6,ricard,0.14784808090361085
6,alianz,-0.13380388627073878
6,mirand,0.12386896522063112
6,sfe,0.1238386853928499
7,parisi,0.36941231069829172
7,educ,0.20158136426243312
7,president,-0.17303655947821642
7,independient,0.16305105437048695
7,nuev,0.16213849463442445
7,econom,0.15775812270760126
7,matthei,0.13655701291390857
7,mayor,0.13613094266091824
7,colegi,0.13560509007948732
7,debat,-0.11821243316323521
8,piñer,0.36568095174920368
8,sebastian,0.30600832748009144
8,president,0.29378159719589275
8,gobiern,0.28093266329463534
8,bachelet,0.13289467259240656
8,le,0.13047854533444228
8,senador,-0.12968037311200292
8,ex,-0.12391982315725773
8,polit,-0.11899528433366285
8,rn,-0.11566295521559952
9,ex,-0.24861671451388481
9,derech,0.22600576478727763
9,alianz,0.20098503375367013
9,matthei,0.19847672068133773
9,polit,0.19505768536151258
9,human,0.14403360679962368
9,mandatari,-0.13750176338830317
9,primer,-0.13444130206465113
9,mil,-0.13340436073380602
9,noviembr,-0.13195887997289826
