Tema,Termino,Puntuacion
0,candidat,0.20493447145112231
0,bachelet,0.20091661395096064
0,ex,0.17547022145158281
0,president,0.16350069176181387
0,gobiern,0.15040568719780689
0,presidencial,0.14372134026917996
0,part,0.1384543297041943
0,dij,0.11936119231272238
0,primari,0.11609364227623696
0,nuev,0.11168022475383954
1,ppd,0.19365004514716991
1,presidencial,0.1897459759758704
1,educ,-0.18405217703244531
1,ps,0.18383193081982507
1,ex,0.16908250045711282
1,cre,-0.15796741464565375
1,primari,0.14929273446408975
1,gobiern,-0.14366287725683341
1,pais,-0.13754330454808453
1,son,-0.12397538157673954
2,ex,-0.29570855387110884
2,candidat,0.29140631378979115
2,presidencial,0.2473675756259385
2,primari,0.24653145931792994
2,president,-0.20983073381205705
2,onu,-0.19459305303461821
2,mujer,-0.19439743418330577
2,debat,0.16079914873693027
2,mandatari,-0.14824996635362389
2,director,-0.14745660735049534
3,primari,0.3296383214764369
3,matthei,-0.22701004995308949
3,candidat,-0.2129886232664438
3,ministr,-0.20966244953544511
3,pais,0.19137349405838616
3,gobiern,-0.15913284672731337
3,quier,0.15491325789151786
3,presidencial,-0.14728733907766317
3,chil,0.14107623228388275
3,alianz,-0.12479359679437182
4,mujer,0.22231937863216342
4,chil,0.21977850129892942
4,presidencial,0.20962121157528504
4,onu,0.20258564490762915
4,pais,0.18230574129225177
4,com,-0.17976917969231104
4,ps,-0.17261536297589267
4,candidat,0.16006043008663928
4,director,0.14539357065800837
4,primari,-0.14203348442964661
5,propuest,0.31101883055241925
5,educ,0.31071463079877243
5,nuev,0.30272562886516258
5,reform,0.20883521128129309
5,mayor,0.16755175195713387
5,apoy,-0.16481412482589955
5,president,-0.14436665120321854
5,constitu,0.13304617856870482
5,subvencion,0.1279990839621343
5,le,-0.12025602518999891
6,educ,-0.35439338207069315
6,nuev,0.27893754934963499
6,ministr,-0.24269711142498468
6,primari,-0.22612825544361997
6,mayor,0.18149576532412789
6,bey,-0.16762128088752989
6,allamand,-0.16396755276277669
6,andres,-0.15120517059380489
6,subvencion,-0.13525035613996475
6,harald,-0.13193276115395222
7,gobiern,-0.27543160073521405
7,primari,-0.25059814137395869
7,juni,-0.2179315615830229
7,piñer,-0.21407585973257293
7,30,-0.21236219133600681
7,proxim,-0.17690765661458979
7,sebastian,-0.16222306171122361
7,president,-0.15705475028215579
7,particip,-0.14094174210195218
7,llam,-0.13848404103564071
8,matthei,-0.25952910653875555
8,gobiern,0.24594893293594089
8,ministr,-0.21877238880627287
8,acus,-0.20282044786851122
8,propuest,0.17620742396480951
8,bey,-0.14373813968055368
8,parisi,-0.13595716685338463
8,debat,-0.11765384535226257
8,harald,-0.11361309260238474
8,allamand,0.11296988718603691
9,segund,0.30692201568815786
9,vuelt,0.30512511779798468
9,vot,0.24633132173169611
9,polit,-0.18567375610280681
9,apoy,0.17089642623339149
9,com,-0.15613080541197022
9,piñer,0.14657286999525854
9,gomez,-0.14434925903010362
9,president,0.1296491811756951
9,sebastian,0.11824171964643104
